Unnamed: 0,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials,Score,GoalDifference,HomeWin
287,1978,10 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,3.0,1.0,Mexico, ,22651.0,1.0,0.0,POL,MEX,3.0 - 1.0,2.0,True
288,1978,10 Jun 1978 - 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,0.0,0.0,Tunisia, ,30667.0,0.0,0.0,FRG,TUN,0.0 - 0.0,0.0,False
289,1978,10 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1.0,0.0,Argentina, ,71712.0,0.0,0.0,ITA,ARG,1.0 - 0.0,1.0,True
290,1978,11 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,1.0,0.0,Austria, ,35221.0,1.0,0.0,BRA,AUT,1.0 - 0.0,1.0,True
291,1978,11 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Spain,1.0,0.0,Sweden, ,42132.0,0.0,0.0,ESP,SWE,1.0 - 0.0,1.0,True
292,1978,11 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,4.0,1.0,Iran, ,21262.0,3.0,1.0,PER,IRN,4.0 - 1.0,3.0,True
293,1978,11 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Scotland,3.0,2.0,Netherlands, ,35130.0,1.0,1.0,SCO,NED,3.0 - 2.0,1.0,True
294,1978,14 Jun 1978 - 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany FR,0.0,0.0,Italy, ,67547.0,0.0,0.0,FRG,ITA,0.0 - 0.0,0.0,False
295,1978,14 Jun 1978 - 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Netherlands,5.0,1.0,Austria, ,25050.0,3.0,0.0,NED,AUT,5.0 - 1.0,4.0,True
296,1978,14 Jun 1978 - 16:45 ,Group B,San Martin,Mendoza ,Brazil,3.0,0.0,Peru, ,31278.0,2.0,0.0,BRA,PER,3.0 - 0.0,3.0,True
297,1978,14 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,2.0,0.0,Poland, ,37091.0,1.0,0.0,ARG,POL,2.0 - 0.0,2.0,True
298,1978,18 Jun 1978 - 13:45 ,Group B,San Martin,Mendoza ,Poland,1.0,0.0,Peru, ,35288.0,0.0,0.0,POL,PER,1.0 - 0.0,1.0,True
299,1978,18 Jun 1978 - 16:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1.0,0.0,Austria, ,66695.0,1.0,0.0,ITA,AUT,1.0 - 0.0,1.0,True
300,1978,18 Jun 1978 - 16:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,2.0,2.0,Netherlands, ,40750.0,1.0,1.0,FRG,NED,2.0 - 2.0,0.0,False
301,1978,18 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,0.0,0.0,Brazil, ,37326.0,0.0,0.0,ARG,BRA,0.0 - 0.0,0.0,False
302,1978,21 Jun 1978 - 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Netherlands,2.0,1.0,Italy, ,67433.0,0.0,1.0,NED,ITA,2.0 - 1.0,1.0,True
303,1978,21 Jun 1978 - 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Austria,3.0,2.0,Germany FR, ,38318.0,0.0,1.0,AUT,FRG,3.0 - 2.0,1.0,True
304,1978,21 Jun 1978 - 16:45 ,Group B,San Martin,Mendoza ,Brazil,3.0,1.0,Poland, ,39586.0,1.0,1.0,BRA,POL,3.0 - 1.0,2.0,True
305,1978,21 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,6.0,0.0,Peru, ,37315.0,2.0,0.0,ARG,PER,6.0 - 0.0,6.0,True
306,1978,24 Jun 1978 - 15:00 ,Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Brazil,2.0,1.0,Italy, ,69659.0,0.0,1.0,BRA,ITA,2.0 - 1.0,1.0,True
307,1978,25 Jun 1978 - 15:00 ,Final,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,3.0,1.0,Netherlands,Argentina win after extra time ,71483.0,0.0,0.0,ARG,NED,3.0 - 1.0,2.0,True
308,1982,13 Jun 1982 - 20:00 ,Group 3,Camp Nou,Barcelona ,Argentina,0.0,1.0,Belgium, ,95000.0,0.0,0.0,ARG,BEL,0.0 - 1.0,1.0,False
